,0,1,2
314,-10.7804,7.1779,-4.3783
315,-10.7313,6.5948,-4.1486
316,-11.0529,6.2523,-4.0702
317,-11.3783,5.9047,-3.9936
318,-10.8357,5.1371,-3.6267
319,-10.6463,4.5875,-3.3992
320,-11.3638,4.4224,-3.462
321,-11.2767,3.9323,-3.2784
322,-11.2253,3.4727,-3.1144
323,-11.1733,3.028,-2.958
324,-11.1205,2.5963,-2.8087
325,-14.2033,2.7932,-3.4212
326,-29.7358,4.7711,-6.8277
327,-22.4987,2.8063,-4.9215
328,-21.5867,1.9301,-4.4952
329,-20.7707,1.1295,-4.1139
330,-20.0351,0.3917,-3.7702
331,-19.3676,-0.2937,-3.4583
332,-18.7581,-0.9354,-3.1737
333,-18.1986,-1.5402,-2.9124
334,-18.0287,-2.1555,-2.7236
335,-18.9009,-2.9248,-2.6892
336,-18.5756,-3.5343,-2.4824
337,-18.624,-4.2135,-2.3304
338,-18.565,-4.878,-2.1671
339,-18.8793,-5.6622,-2.0469
340,-32.1815,-10.8726,-3.2241
341,-46.453,-17.4978,-4.2738
342,-18.6265,-8.5224,-1.4103
343,-18.7711,-9.3835,-1.2683
344,-28.2849,-18.0117,-1.2119
345,-26.2138,-17.9948,-0.9026
346,-27.3987,-20.2365,-0.709
347,-24.2993,-19.2818,-0.4169
348,-22.6261,-19.2686,-0.1862
349,-21.0842,-19.2565,0.02
350,-20.1357,-19.7156,0.2099
351,-20.2547,-21.2614,0.4103
352,-20.2427,-22.7873,0.6176
353,-20.2297,-24.4384,0.8348
354,-13.0302,-16.91,0.6856
355,-18.759,-26.1899,1.2133
356,-18.7348,-28.1914,1.4536
357,-18.8339,-30.6173,1.7239
358,-17.8892,-31.5095,1.9094
359,-10.0156,-19.1819,1.2368
360,-18.782,-39.2822,2.67
361,-7.0099,-16.0952,1.1446
362,-10.1748,-25.8132,1.9081
363,-9.6869,-27.372,2.0917
364,-10.6839,-33.9615,2.6701
365,-9.1386,-33.0981,2.666
366,-7.7183,-32.3829,2.6622
367,-6.3967,-31.7956,2.6587
368,-5.4453,-33.0975,2.8061
369,-4.2042,-32.7743,2.809
370,-3.002,-32.5108,2.809
371,-1.8311,-32.3357,2.809
372,-0.6789,-32.2454,2.809
373,0.4665,-32.2378,2.809
374,1.6166,-32.3127,2.809
375,2.7832,-32.4718,2.809
376,3.9785,-32.7187,2.809
377,5.216,-33.0587,2.809
378,6.511,-33.5,2.809
379,7.8805,-34.0533,2.809
380,9.3454,-34.7331,2.809
381,10.3451,-33.6533,2.6586
382,12.0092,-34.6539,2.663
383,13.8612,-35.8512,2.6675
384,13.706,-32.0401,2.2958
385,13.7727,-29.295,2.009
386,11.0334,-21.4711,1.3989
387,13.8404,-24.752,1.5184
388,13.8683,-22.8771,1.307
389,13.6367,-20.8119,1.0922
390,13.9985,-19.8138,0.9379
391,14.1963,-18.6721,0.7778
392,16.4878,-20.1823,0.7142
393,18.2859,-20.8543,0.5936
394,19.525,-20.7618,0.432
395,21.0025,-20.831,0.2566
396,28.2308,-26.1186,0.0757
397,28.2393,-24.3636,-0.1849
398,20.6199,-16.5789,-0.32
399,33.4442,-25.0346,-0.8119
400,24.2212,-15.6427,-1.0003
401,24.421,-14.6026,-1.2119
402,24.703,-13.6374,-1.4295
403,24.9898,-12.6922,-1.6507
404,25.2824,-11.7635,-1.8761
405,25.5818,-10.8475,-2.1065
406,25.889,-9.9408,-2.3427
407,26.2051,-9.0401,-2.5856
408,26.5312,-8.142,-2.836
409,26.8686,-7.2434,-3.0949
410,27.2187,-6.3409,-3.3633
411,27.583,-5.431,-3.6424
412,39.4053,-6.3559,-5.5431
413,38.9478,-4.9096,-5.8199
414,38.1597,-3.4759,-6.0429
415,38.9641,-2.1937,-6.5256
